step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1435,75,32634,336.4329897,1.940082415,75,39197,0.070438873,75,39197
1440,67,31937,350.956044,1.981100791,67,37159,0.077866582,67,37159
1445,64,31434,330.8842105,2.977799953,64,34531,0.117686654,64,34531
1450,52,30843,342.7,2.623006839,52,34150,0.120964887,52,34150
1455,51,30475,331.25,3.149520815,51,34294,0.155523218,51,34294
1460,56,30750,330.6451613,3.033215635,56,34488,0.109543577,56,34488
1465,65,31056,313.6969697,2.684653275,65,34724,0.096688984,65,34724
1470,73,31404,330.5684211,1.797089268,73,35002,0.071589018,73,35002
1475,82,31788,327.7113402,1.347547554,82,35316,0.039830235,82,35316
1480,87,32211,332.0721649,1.36983895,87,35670,0.06016531,87,35670
1485,81,32352,333.5257732,0.864427911,81,35908,0.058152755,81,35908
1490,80,32650,329.7979798,1.72470749,80,36073,0.083501831,80,36073
1495,80,33050,320.8737864,2.222718172,80,36301,0.072520237,80,36301
1500,79,33399,333.99,1.89641894,79,36607,0.062895921,79,36607
1505,79,33785,334.5049505,2.189068772,79,36899,0.087066605,79,36899
1510,79,34180,352.371134,2.189105876,79,37221,0.053803564,79,37221
1515,81,34581,349.3030303,2.26765745,81,37548,0.090099498,81,37548
1520,81,34986,372.1914894,1.718466816,81,37873,0.061189386,81,37873
1525,76,34951,364.0729167,1.816274403,76,36890,0.101278016,76,36890
1530,69,34626,368.3617021,2.205832312,69,34436,0.08650621,69,34436
1535,64,34428,354.9278351,2.826354771,64,32881,0.106909272,64,32881
1540,55,34034,362.0638298,2.752324438,55,33079,0.13784194,55,33079
1545,54,34038,362.106383,2.958770323,54,33238,0.140922183,54,33238
1550,62,34332,353.9381443,3.043292391,62,33448,0.112956728,62,33448
1555,68,34662,357.3402062,2.149962714,68,33698,0.090620858,68,33698
1560,79,35032,364.9166667,1.21797555,79,33988,0.047698877,79,33988
1565,86,35443,350.9207921,1.501043561,86,34322,0.07963794,86,34322
1570,89,35882,362.4444444,0.9615293,89,34682,0.037906625,89,34682
1575,91,36335,352.7669903,1.521733193,91,35055,0.076017295,91,35055
1580,91,36790,357.184466,1.358320242,91,35430,0.044764161,91,35430
1585,87,36796,357.2427184,1.282922253,87,35636,0.048468,87,35636
1590,81,36869,357.9514563,1.810624343,81,35633,0.076867158,81,35633
1595,80,37262,361.7669903,2.183983798,80,35723,0.064183176,80,35723
1600,79,37617,358.2571429,1.947994827,79,36010,0.075397532,79,36010
1605,83,38021,376.4455446,1.935600411,83,36302,0.047766338,83,36302
1610,84,38438,373.184466,2.399870085,84,36629,0.059694469,84,36629
1615,85,38863,396.5612245,1.834210597,85,36964,0.061489829,85,36964
1620,87,39290,413.5789474,1.140274247,87,37301,0.03852792,87,37301
1625,87,39725,409.5360825,1.435353337,87,37646,0.061273212,87,37646
1630,81,39622,408.4742268,0.817462132,81,36903,0.044406132,81,36903
1635,76,39174,395.6969697,1.886821278,76,36179,0.085863944,76,36179
1640,69,38873,381.1078431,2.72994444,69,34932,0.101549821,69,34932
1645,60,38208,385.9393939,2.429826056,60,35030,0.120027615,60,35030
1650,56,37870,378.7,2.935674242,56,35014,0.145077823,56,35014
1655,63,38173,385.5858586,2.586553429,63,35042,0.095734398,63,35042
1660,70,38382,365.5428571,2.251737468,70,35231,0.095354018,70,35231
1665,68,38640,371.5384615,2.040460584,68,35379,0.062661949,68,35379
1670,78,39009,361.1944444,2.494375555,78,35597,0.088042246,78,35597
1675,83,39416,375.3904762,2.630508537,83,35890,0.063983641,83,35890
1680,85,39833,394.3861386,2.004821444,85,36207,0.062197328,85,36207
1685,85,40258,406.6464646,1.844800798,85,36532,0.060646922,85,36532
1690,79,40508,409.1717172,1.496960852,79,36767,0.066271232,79,36767
